Correlation Matrix:
            Survived    Pclass       Age     SibSp     Parch      Fare  Sex_female  Sex_male  Embarked_C  Embarked_Q  Embarked_S  Age_Disc  FamilySize
Survived    1.000000 -0.353706 -0.090309 -0.034734  0.082956  0.257691    0.519043 -0.519043    0.181328   -0.055400   -0.142421 -0.090309    0.026125
Pclass     -0.353706  1.000000 -0.363096  0.074853  0.031771 -0.554027   -0.137930  0.137930   -0.276813    0.137954    0.192162 -0.363096    0.065358
Age        -0.090309 -0.363096  1.000000 -0.313267 -0.192500  0.090985   -0.106270  0.106270    0.044521   -0.023589   -0.030243  1.000000   -0.307929
SibSp      -0.034734  0.074853 -0.313267  1.000000  0.374674  0.131512    0.091036 -0.091036   -0.062948    0.046840    0.036380 -0.313267    0.844385
Parch       0.082956  0.031771 -0.192500  0.374674  1.000000  0.198677    0.241931 -0.241931   -0.023033   -0.014973    0.028504 -0.192500    0.813081
Fare        0.257691 -0.554027  0.090985  0.131512  0.198677  1.000000    0.174043 -0.174043    0.295120   -0.067219   -0.242654  0.090985    0.197376
Sex_female  0.519043 -0.137930 -0.106270  0.091036  0.241931  0.174043    1.000000 -1.000000    0.085560    0.022874   -0.090391 -0.106270    0.196955
Sex_male   -0.519043  0.137930  0.106270 -0.091036 -0.241931 -0.174043   -1.000000  1.000000   -0.085560   -0.022874    0.090391  0.106270   -0.196955
Embarked_C  0.181328 -0.276813  0.044521 -0.062948 -0.023033  0.295120    0.085560 -0.085560    1.000000   -0.100803   -0.882290  0.044521   -0.052833
Embarked_Q -0.055400  0.137954 -0.023589  0.046840 -0.014973 -0.067219    0.022874 -0.022874   -0.100803    1.000000   -0.379372 -0.023589    0.020759
Embarked_S -0.142421  0.192162 -0.030243  0.036380  0.028504 -0.242654   -0.090391  0.090391   -0.882290   -0.379372    1.000000 -0.030243    0.039313
Age_Disc   -0.090309 -0.363096  1.000000 -0.313267 -0.192500  0.090985   -0.106270  0.106270    0.044521   -0.023589   -0.030243  1.000000   -0.307929
FamilySize  0.026125  0.065358 -0.307929  0.844385  0.813081  0.197376    0.196955 -0.196955   -0.052833    0.020759    0.039313 -0.307929    1.000000
